"","LR pairs","organ","gender","regulate","logFC","FDR"
"1","PLG-LRP2","Kidney","Male","Up",-3.28311600773004,4.5964362230855e-23
"2","LTB-TNFRSF1A","Kidney","Male","Down",4.27487977282209,1.31143566115959e-22
"3","COL6A1-SDC1","Kidney","Male","Up",-2.33666479888959,4.03301542015283e-22
"4","LAMC2-ITGA3","Kidney","Male","Down",4.07198438488836,4.03301542015283e-22
"5","TIMP3-KDR","Kidney","Male","Up",-2.18001323602639,4.03301542015283e-22
"6","COMP-SDC1","Kidney","Male","Up",-5.67351232067133,1.00383317617976e-21
"7","LTB-LTBR","Kidney","Male","Down",4.36589941878472,2.11881820815005e-20
"8","ANXA2-CD44","Kidney","Male","Down",1.81016232437641,2.96877231865706e-20
"9","COL1A2-CD44","Kidney","Male","Down",2.58150702659601,4.48647656920261e-20
"10","FN1-SDC1","Kidney","Male","Up",-1.872234821969,5.90113601234153e-20
"11","COL3A1-ADGRG1","Kidney","Male","Down",1.52204137621613,6.05382423339648e-20
"12","APOE-SDC1","Kidney","Male","Up",-1.4496914010997,6.8618896374899e-20
"13","COL1A2-ITGA2","Kidney","Male","Down",2.30208351878835,1.06738053511554e-19
"14","ALB-LRP2","Kidney","Male","Up",-2.70643714744778,1.58992274782409e-19
"15","LAMC2-ITGB1","Kidney","Male","Down",3.44540366192273,1.70457262721759e-19
"16","ICAM1-MUC1","Kidney","Male","Down",1.26788263920024,3.28341327098782e-19
"17","TNC-ITGB6","Kidney","Male","Down",3.16019526579215,5.34231582539407e-19
"18","TNC-SDC1","Kidney","Male","Up",-1.87280534229317,1.1038060841043e-18
"19","PLTP-ABCA1","Kidney","Male","Up",-3.89234788659883,2.84897882829243e-18
"20","COL6A3-SDC4","Kidney","Male","Down",2.35777166325897,3.82972479401539e-18
"21","VIM-CD44","Kidney","Male","Down",1.4465186554134,4.3173687797366e-18
"22","LPL-LRP2","Kidney","Male","Up",-3.26433272085703,4.39406988623032e-18
"23","TNXB-SDC1","Kidney","Male","Up",-1.98144152127538,4.88192891051218e-18
"24","BGN-CD44","Kidney","Male","Down",1.63141508357239,5.93643345470091e-18
"25","POSTN-ITGB1","Kidney","Male","Down",1.54398094881689,9.50089270427965e-18
"26","VEGFA-PTPRB","Kidney","Male","Up",-1.57318784704235,1.50061666491356e-17
"27","GNAS-PTH1R","Kidney","Male","Up",-0.970362759678518,1.50573428185745e-17
"28","LAMC2-CD44","Kidney","Male","Down",5.10675157329767,1.60218383975451e-17
"29","THBS3-SDC1","Kidney","Male","Up",-2.23268821213661,2.19389541868721e-17
"30","EGF-ERBB2","Kidney","Male","Up",-2.27183343160721,2.23100546673755e-17
"31","COL4A1-CD44","Kidney","Male","Down",1.93219559745737,2.54128479295891e-17
"32","SERPINE2-PLAUR","Kidney","Male","Down",4.74387791567371,2.68946065570169e-17
"33","COL1A1-ITGA2","Kidney","Male","Down",2.4378971593567,4.41403757950211e-17
"34","COL1A1-CD44","Kidney","Male","Down",2.78709333532627,4.95272513760811e-17
"35","COL6A2-SDC1","Kidney","Male","Up",-1.59053167954013,5.23724412695814e-17
"36","COL4A2-CD44","Kidney","Male","Down",1.80377761667169,5.55343819292745e-17
"37","MIF-CD44","Kidney","Male","Down",1.10424208372731,8.67686767649809e-17
"38","PODXL-SELL","Kidney","Male","Up",-2.06626420448617,1.05695248015745e-16
"39","SELL-PODXL","Kidney","Male","Up",-2.06626420448617,1.05695248015745e-16
"40","SPP1-CD44","Kidney","Male","Down",1.93157984706221,1.05695248015745e-16
"41","SERPINE2-LRP1","Kidney","Male","Down",2.49052021575612,1.08433245594182e-16
"42","LAMC2-DAG1","Kidney","Male","Down",2.88147078685788,1.3982566421075e-16
"43","HGF-ITGB1","Kidney","Male","Down",1.88367627970501,1.77342835207023e-16
"44","BSG-ITGB2","Kidney","Male","Up",-1.20824502375421,1.95974878584756e-16
"45","HGF-ST14","Kidney","Male","Down",2.32075544397102,2.21586326058734e-16
"46","C1QB-LRP1","Kidney","Male","Up",-1.79070803063243,2.86946190984929e-16
"47","CCN2-ITGAM","Kidney","Male","Up",-1.72418073459449,3.91957735960027e-16
"48","LGALS9-P4HB","Kidney","Male","Down",1.7900319399064,3.96393130009843e-16
"49","COL3A1-DDR1","Kidney","Male","Down",1.32049225866349,4.21535869324805e-16
"50","BSG-SLC16A7","Kidney","Male","Up",-1.22617385842736,8.02037540117283e-16
"51","COL6A3-CD44","Kidney","Male","Down",3.7014093919936,9.59121673614416e-16
"52","LAMB2-CD44","Kidney","Male","Down",1.30486502070179,1.08231172546231e-15
"53","LAMC2-ITGA6","Kidney","Male","Down",3.05801388129863,1.18327944445829e-15
"54","COL6A2-CD44","Kidney","Male","Down",1.72956613364305,1.18327944445829e-15
"55","CALR-ITGA3","Kidney","Male","Down",0.827612679856096,1.18327944445829e-15
"56","COL1A2-ITGB1","Kidney","Male","Down",1.07043571848548,1.6415215650472e-15
"57","APOE-SORL1","Kidney","Male","Up",-0.866820219366361,1.64863109351066e-15
"58","HGF-MET","Kidney","Male","Down",2.99403239677559,2.03440452222534e-15
"59","APP-SORCS1","Kidney","Male","Up",-4.56666770072395,2.10795921299683e-15
"60","VCAM1-ITGB1","Kidney","Male","Down",1.0167530140869,2.76615249462317e-15
"61","TIMP1-ITGB1","Kidney","Male","Down",0.844829317561701,6.3545774661275e-15
"62","POSTN-EGFR","Kidney","Male","Down",1.82530478107785,6.51874122471794e-15
