"","PC","Mid-Lob","PP","Tech","age"
"A11_36077725296200",0.441560938291166,0.00197416838218832,0.556464893326646,"STOmics","Young"
"A11_36077725297200",0.22076708684361,0.0014470805697064,0.777785832586684,"STOmics","Young"
"A11_36077725297400",0.647080566282415,0.00153971143109497,0.35137972228649,"STOmics","Young"
"A11_36077725297600",0.154508823419955,0.83876203281689,0.00672914376315516,"STOmics","Young"
"A11_36077725298400",0.244604917463624,0.752510396044759,0.00288468649161716,"STOmics","Young"
"A11_36077725303000",0.529662638192912,0.252376166306966,0.217961195500122,"STOmics","Young"
"A11_36077725303200",0.327542112312557,0.000192625778404319,0.672265261909039,"STOmics","Young"
"A11_36077725305600",0.00055897784361332,0.699915327739041,0.299525694417345,"STOmics","Young"
"A11_36077725306400",0.499002644859738,0.00109975315772891,0.499897601982534,"STOmics","Young"
"A11_36077725306600",0.100675014729114,0.899039963574906,0.000285021695980107,"STOmics","Young"
"A11_36077725306800",0.370136534779151,0.62914270242074,0.00072076280010912,"STOmics","Young"
"A11_36077725307000",0.439499478389639,0.559717355962129,0.000783165648232348,"STOmics","Young"
"A11_36077725307200",0.000322773414147998,0.999363411838904,0.000313814746948433,"STOmics","Young"
"A11_36936718753800",0.191799826844083,0.806868489933749,0.00133168322216813,"STOmics","Young"
"A11_36936718754200",0.0702402316632066,0.928806941264548,0.000952827072245541,"STOmics","Young"
"A11_36936718754400",0.000391230407388926,0.732221603600695,0.267387165991916,"STOmics","Young"
"A11_36936718754600",0.000494867483518425,0.457399857252522,0.542105275263959,"STOmics","Young"
"A11_36936718754800",0.000365234465858967,0.945169565422299,0.0544652001118421,"STOmics","Young"
"A11_36936718755000",0.322736266878155,0.676513324121836,0.000750409000009099,"STOmics","Young"
"A11_36936718755200",0.66117302811783,0.0116973306083815,0.327129641273789,"STOmics","Young"
"A11_36936718755400",0.0714448137967597,0.928021930406242,0.000533255796998482,"STOmics","Young"
"A11_36936718755600",0.000534928493511896,0.643547446476218,0.355917625030271,"STOmics","Young"
"A11_36936718755800",0.000273540224476546,0.507601606800867,0.492124852974656,"STOmics","Young"
"A11_36936718756000",0.135819746567099,0.863238472067992,0.000941781364909164,"STOmics","Young"
"A11_36936718756200",0.0453342287265342,0.652039331178004,0.302626440095462,"STOmics","Young"
"A11_36936718756400",0.0748529199733088,0.924827863456483,0.000319216570208137,"STOmics","Young"
"A11_36936718756600",0.677940470479724,0.32106614013061,0.000993389389666426,"STOmics","Young"
"A11_36936718756800",0.116192217403077,0.883277984212465,0.000529798384458086,"STOmics","Young"
"A11_36936718757000",0.277692199328204,0.157437739999438,0.564870060672358,"STOmics","Young"
"A11_36936718757200",0.19823867993666,0.800601048005121,0.0011602720582193,"STOmics","Young"
"A11_36936718757400",0.155196198145595,0.435402943605184,0.409400858249221,"STOmics","Young"
"A11_36936718757600",0.0485087843446062,0.950662888811266,0.000828326844127732,"STOmics","Young"
"A11_36936718757800",0.095640923507454,0.719584851919104,0.184774224573442,"STOmics","Young"
"A11_36936718758200",0.323177616760254,0.675401092455921,0.00142129078382486,"STOmics","Young"
"A11_36936718758400",0.383640086476355,0.615314882181741,0.00104503134190427,"STOmics","Young"
"A11_36936718758600",0.000616561061312995,0.998766877877374,0.000616561061313035,"STOmics","Young"
"A11_36936718758800",0.417584415505436,0.143849109890731,0.438566474603833,"STOmics","Young"
"A11_36936718759200",0.598735980145135,0.27380358605913,0.127460433795735,"STOmics","Young"
"A11_36936718759600",0.000491515039761679,0.674198159009097,0.325310325951141,"STOmics","Young"
"A11_36936718759800",0.183607977925096,0.815490745565369,0.000901276509534418,"STOmics","Young"
"A11_36936718760000",0.39571245820642,0.138079538735312,0.466208003058269,"STOmics","Young"
"A11_36936718761600",0.0805981218497551,0.8290018377443,0.0904000404059447,"STOmics","Young"
"A11_36936718762000",0.180667555789886,0.199674689591396,0.619657754618717,"STOmics","Young"
"A11_36936718762200",0.00928296483017974,0.990299526749113,0.000417508420707264,"STOmics","Young"
"A11_36936718762400",0.37026462653857,0.000439447776402654,0.629295925685028,"STOmics","Young"
"A11_36936718763400",0.000187183563072825,0.9128647572375,0.0869480591994273,"STOmics","Young"
"A11_36936718763800",0.277556918570453,0.0279203983059164,0.694522683123631,"STOmics","Young"
"A11_36936718764000",0.0726243323063781,0.512355656776257,0.415020010917365,"STOmics","Young"
"A11_36936718764200",0.00032204817177401,0.910701145376818,0.0889768064514077,"STOmics","Young"
"A11_36936718764400",0.000292094675517111,0.767476688466515,0.232231216857968,"STOmics","Young"
"A11_36936718764600",0.0550304097422223,0.91984956491193,0.0251200253458481,"STOmics","Young"
"A11_36936718764800",0.000300541659849087,0.584036921256365,0.415662537083786,"STOmics","Young"
"A11_36936718765000",0.000322751176363234,0.905064685047866,0.0946125637757708,"STOmics","Young"
"A11_36936718765200",0.00032901430637194,0.911134466063541,0.0885365196300869,"STOmics","Young"
"A11_36936718765400",0.58603728295491,0.0487460603818802,0.36521665666321,"STOmics","Young"
"A11_36936718765600",0.37493589954287,0.624291896795884,0.000772203661245921,"STOmics","Young"
"A11_36936718765800",0.476812250348307,0.522352369293824,0.000835380357869576,"STOmics","Young"
"A11_36936718766000",0.461179043680009,0.538327502257573,0.000493454062418102,"STOmics","Young"
"A11_36936718766200",0.715767427642322,0.283883559715689,0.000349012641988306,"STOmics","Young"
"A11_36936718766400",0.675556799769468,0.323581935936336,0.000861264294195942,"STOmics","Young"
"A11_36936718766600",0.371272139244979,0.627973548019367,0.000754312735653691,"STOmics","Young"
"A11_37795712212200",0.194566468220955,0.804339924717223,0.00109360706182167,"STOmics","Young"
"A11_37795712212400",0.296237337066577,0.0566337074254981,0.647128955507925,"STOmics","Young"
"A11_37795712212600",0.000512295765425163,0.625335849674823,0.374151854559751,"STOmics","Young"
"A11_37795712212800",0.000428899079560744,0.828951641895187,0.170619459025253,"STOmics","Young"
"A11_37795712213000",0.0174802168681934,0.981594105996165,0.000925677135641104,"STOmics","Young"
"A11_37795712213200",0.303934617136,0.557087288298676,0.138978094565323,"STOmics","Young"
"A11_37795712213400",0.0845981850719931,0.914475759499307,0.000926055428699462,"STOmics","Young"
"A11_37795712213600",0.000387609163391942,0.660493485925955,0.339118904910653,"STOmics","Young"
"A11_37795712213800",0.000516419763503963,0.270712865844372,0.728770714392124,"STOmics","Young"
"A11_37795712214000",0.000395930329235809,0.819221101851335,0.180382967819429,"STOmics","Young"
"A11_37795712214400",0.589941765320084,0.409205601196546,0.000852633483369827,"STOmics","Young"
"A11_37795712214600",0.411211150959499,0.587961130839544,0.000827718200956231,"STOmics","Young"
"A11_37795712214800",0.00045851061481611,0.460516401070795,0.539025088314389,"STOmics","Young"
"A11_37795712215000",0.0364958589575664,0.273674873132001,0.689829267910433,"STOmics","Young"
"A11_37795712215200",0.0387277934482676,0.775980343918731,0.185291862633001,"STOmics","Young"
"A11_37795712215400",0.000567081512248771,0.513385722443533,0.486047196044218,"STOmics","Young"
"A11_37795712215600",0.0658686175170248,0.686012769909469,0.248118612573506,"STOmics","Young"
"A11_37795712215800",0.572858332805845,0.426115078313298,0.00102658888085678,"STOmics","Young"
"A11_37795712216000",0.0736293704297428,0.925799924320376,0.000570705249880802,"STOmics","Young"
"A11_37795712216200",0.03566638339956,0.405598084977682,0.558735531622758,"STOmics","Young"
"A11_37795712216400",0.257787595052902,0.000819510738608027,0.74139289420849,"STOmics","Young"
"A11_37795712216600",0.218810717205177,0.780046951688324,0.00114233110649896,"STOmics","Young"
"A11_37795712216800",0.210940809078724,0.788159163772788,0.000900027148487817,"STOmics","Young"
"A11_37795712217000",0.000447044089102388,0.566176173293709,0.433376782617188,"STOmics","Young"
"A11_37795712217200",0.00052410269795782,0.453185289361995,0.546290607940047,"STOmics","Young"
"A11_37795712217400",0.000504625724281763,0.962166776864122,0.037328597411596,"STOmics","Young"
"A11_37795712217600",0.000355005355112843,0.999284068564891,0.000360926079995798,"STOmics","Young"
"A11_37795712217800",0.000432611190804153,0.824950394271501,0.174616994537695,"STOmics","Young"
"A11_37795712218000",0.834674228662116,0.163116452144845,0.00220931919303934,"STOmics","Young"
"A11_37795712218200",0.209901389397847,0.789600539324021,0.000498071278132521,"STOmics","Young"
"A11_37795712218400",0.233312288775856,0.765773593622024,0.000914117602120158,"STOmics","Young"
"A11_37795712218600",0.000480479722190836,0.617511420654912,0.382008099622897,"STOmics","Young"
"A11_37795712218800",0.00042186099645463,0.689256581682992,0.310321557320553,"STOmics","Young"
"A11_37795712219200",0.521146530860983,0.478047045502329,0.000806423636687798,"STOmics","Young"
"A11_37795712219400",0.283609837048653,0.624293719783547,0.0920964431678008,"STOmics","Young"
"A11_37795712219600",0.367499721689832,0.527120507509095,0.105379770801073,"STOmics","Young"
"A11_37795712219800",0.000371294720258007,0.999257410559484,0.000371294720258032,"STOmics","Young"
"A11_37795712220000",0.107693220911119,0.891994247433114,0.000312531655766506,"STOmics","Young"
"A11_37795712220200",0.000338979903824506,0.986157110835836,0.0135039092603391,"STOmics","Young"
"A11_37795712220400",0.0079147636878881,0.504322302893222,0.48776293341889,"STOmics","Young"
"A11_37795712220600",0.000435218127440061,0.835843089018643,0.163721692853917,"STOmics","Young"
"A11_37795712220800",0.179292049135109,0.648676511510422,0.172031439354469,"STOmics","Young"
"A11_37795712221000",0.000345917240694008,0.981351808673544,0.0183022740857615,"STOmics","Young"
"A11_37795712221200",0.0271991593279682,0.972427477201345,0.000373363470687166,"STOmics","Young"
"A11_37795712221400",0.000302671613980629,0.966848419026324,0.0328489093596954,"STOmics","Young"
"A11_37795712221600",0.0403381492406352,0.959098959884112,0.000562890875252372,"STOmics","Young"
"A11_37795712221800",0.0159427699064786,0.731698590289691,0.252358639803831,"STOmics","Young"
"A11_37795712222000",0.000395707571341877,0.978381991548065,0.0212223008805932,"STOmics","Young"
