,gene,tech,organ,regulate,logFC,FDR
0,Lyz2,Visium,Brain,Up,2.68419111737311,2.992338000376e-13
1,C4b,Visium,Brain,Up,3.00826759276286,2.992338000376e-13
2,Itgax,Visium,Brain,Up,3.85976745728813,2.992338000376e-13
3,Cd52,Visium,Brain,Up,1.38916816757661,4.42624841756832e-12
4,Pcdhb9,Visium,Brain,Up,0.929585285787924,7.42967123417444e-12
5,Fcgr2b,Visium,Brain,Up,1.4622416739024,4.03280836292543e-11
6,Cd84,Visium,Brain,Up,1.28297748004449,4.03280836292543e-11
7,9630013A20Rik,Visium,Brain,Down,-2.29755590103649,4.19729041301161e-11
8,H2-D1,Visium,Brain,Up,0.765690626247764,4.19729041301161e-11
9,Cst7,Visium,Brain,Up,4.54066456943393,4.48240040956834e-11
10,Gfap,Visium,Brain,Up,1.6050839658303,4.7101776343582194e-11
11,Serpina3n,Visium,Brain,Up,2.22705910532281,7.05909653434025e-11
12,Ccl4,Visium,Brain,Up,2.73347946561001,8.471231735923779e-11
13,Itgb2,Visium,Brain,Up,1.2323329776593,1.56044854382279e-10
14,Cd68,Visium,Brain,Up,1.07458117727477,1.56044854382279e-10
15,Cybb,Visium,Brain,Up,2.61591409476993,1.56735768715518e-10
16,Tyrobp,Visium,Brain,Up,1.00507133129602,1.56735768715518e-10
17,Ccl3,Visium,Brain,Up,2.65200245277111,2.08836433445579e-10
18,Spag6,Visium,Brain,Up,1.14979692291832,5.30891430818259e-10
19,Nrep,Visium,Brain,Down,-0.620506528698592,6.82805518305626e-10
20,Ctsz,Visium,Brain,Up,0.747796485256699,8.05742301792343e-10
21,Cd300c2,Visium,Brain,Up,1.05927309567843,9.97595915886282e-10
22,Gpnmb,Visium,Brain,Up,1.81611390738901,1.0559255623017202e-09
23,8430408G22Rik,Visium,Brain,Up,1.8841540984268,1.0559255623017202e-09
24,AC149090.1,Visium,Brain,Up,0.834158140848855,1.0559255623017202e-09
25,C3ar1,Visium,Brain,Up,1.43091936815311,1.0559255623017202e-09
26,C1qc,Visium,Brain,Up,0.966581491047343,1.47682667438404e-09
