,LR pairs,tech,organ,regulate,logFC,FDR
0,Gnai2-C5ar1,Visium,Brain,Up,1.446426234,4.0044435653271795e-11
1,Apoe-Trem2,Visium,Brain,Up,0.86477741,8.26364506273696e-11
2,Adam10-Gpnmb,Visium,Brain,Up,1.49267332,1.55774329172209e-10
3,Timp1-Itgb1,Visium,Brain,Up,2.326449701,1.8323648700405e-10
4,C4b-Cd46,Visium,Brain,Up,2.360993433,4.872403246730821e-10
5,Timp1-Lrp1,Visium,Brain,Up,1.78811366,8.634500749458261e-10
6,C1qa-Cd33,Visium,Brain,Up,1.426275959,1.0850978192070201e-09
7,Cd44-Tyrobp,Visium,Brain,Up,1.874586862,1.5284401437109501e-09
8,Vegfa-Axl,Visium,Brain,Up,0.748454442,1.6105082917881102e-09
9,C3-Itgb2,Visium,Brain,Up,3.77311812,2.31650925297884e-09
10,Lgals3-Mertk,Visium,Brain,Up,2.055085083,2.4307863490816402e-09
11,C1qb-Cd33,Visium,Brain,Up,1.251206082,4.9585896883233e-09
12,Cd14-Itgb2,Visium,Brain,Up,2.769383847,5.051837158863821e-09
13,C3-Lrp1,Visium,Brain,Up,1.584995057,3.25083106351016e-08
14,Sema6d-Tyrobp,Visium,Brain,Up,0.833374954,3.37637894277899e-08
15,Lgals3-Itgb1,Visium,Brain,Up,1.815804892,5.80248301419195e-08
16,Lgals3-Itgb4,Visium,Brain,Up,1.934403022,8.55844009167157e-08
17,Lgals3-Mag,Visium,Brain,Up,1.930809118,8.55844009167157e-08
18,Apoe-Abca1,Visium,Brain,Up,0.647426113,8.55844009167157e-08
19,C1qa-Cspg4,Visium,Brain,Up,0.858301868,1.01328558361596e-07
20,Hmgb1-Havcr2,Visium,Brain,Up,0.949489062,1.01328558361596e-07
21,Vim-Cd44,Visium,Brain,Up,1.945884421,1.01328558361596e-07
22,C3-Itgam,Visium,Brain,Up,2.763198048,1.80865480993101e-07
23,Tln1-Itgb2,Visium,Brain,Up,0.837263518,1.80865480993101e-07
24,Sema6d-Trem2,Visium,Brain,Up,0.844857906,2.03259739322074e-07
25,Vcam1-Itgb2,Visium,Brain,Up,1.049971038,2.03725671053734e-07
26,Timp1-Cd63,Visium,Brain,Up,2.224695149,2.22457454371747e-07
27,Calm2-Scn10a,Visium,Brain,Up,1.459241076,2.40466295334749e-07
28,Jam3-Itgb2,Visium,Brain,Up,1.295039539,3.13176565238353e-07
29,Calm1-Scn10a,Visium,Brain,Up,1.401573818,3.57132788655583e-07
30,Icam1-Itgb2,Visium,Brain,Up,1.820515043,3.6504107653698e-07
31,Itgb2-Icam1,Visium,Brain,Up,1.820515043,3.6504107653698e-07
32,Cxcl5-Ackr1,Visium,Brain,Up,1.600509123,3.92460938334673e-07
33,Hmgb1-Tlr2,Visium,Brain,Up,1.192920394,4.1182563225588e-07
34,Calm3-Scn10a,Visium,Brain,Up,1.39829145,4.86527077176111e-07
35,C1qb-Lrp1,Visium,Brain,Up,0.478113671,6.83052137407237e-07
36,Itgb2-Thy1,Visium,Brain,Up,0.703985497,1.0092922333549e-06
37,Calr-Mpl,Visium,Brain,Down,-1.259085404,1.08442806868224e-06
38,Cd14-C3ar1,Visium,Brain,Up,2.704267294,1.24839450761202e-06
39,Bsg-Itgb2,Visium,Brain,Up,0.742507145,1.76022043097167e-06
40,Icam1-Itgam,Visium,Brain,Up,1.277363093,1.76022043097167e-06
41,Spp1-Itgb5,Visium,Brain,Up,1.33546126,1.7832373000632e-06
42,Vegfa-Itgav,Visium,Brain,Up,0.581593242,2.44232615536405e-06
43,Grn-Tnfrsf1b,Visium,Brain,Up,0.874135803,2.64693121254632e-06
44,Cd14-Tlr3,Visium,Brain,Up,1.227927036,2.64693121254632e-06
45,Icam5-Cd209a,Visium,Brain,Up,1.288897606,2.64693121254632e-06
46,Ccl5-Sdc4,Visium,Brain,Up,1.646437873,3.62933643215127e-06
47,Plau-Itgb2,Visium,Brain,Up,1.808882377,4.0690620818425e-06
48,C3-Cd81,Visium,Brain,Up,1.484371673,4.29476473909158e-06
49,Grn-Tnfrsf1a,Visium,Brain,Up,0.68889348,4.29476473909158e-06
50,Fgf2-Cd44,Visium,Brain,Up,1.176992682,4.61225826290392e-06
51,C4b-C5ar2,Visium,Brain,Up,2.221628796,4.6322500196709e-06
52,Cxcl10-Ackr1,Visium,Brain,Up,1.701371061,5.86839677534551e-06
53,App-Cd74,Visium,Brain,Up,1.000599741,6.20906521271988e-06
54,Itgb2-Icam2,Visium,Brain,Up,1.006715145,6.20906521271988e-06
55,Icam2-Itgb2,Visium,Brain,Up,1.006715145,6.20906521271988e-06
56,Adam9-Itgb5,Visium,Brain,Up,0.612702759,6.20906521271988e-06
57,Cxcl10-Sdc4,Visium,Brain,Up,1.831442076,6.82248669023188e-06
58,Col4a6-Sdc4,Visium,Brain,Up,1.145211125,7.0682094740701e-06
59,Ccl12-Ackr1,Visium,Brain,Up,1.317409748,7.0682094740701e-06
60,Sema5a-Met,Visium,Brain,Down,-0.876484004,7.24264265435127e-06
61,Csf1-Csf1r,Visium,Brain,Up,0.685007436,7.69049992183096e-06
62,Ly86-Cd180,Visium,Brain,Up,1.435961905,7.69049992183096e-06
63,Cd14-Tlr2,Visium,Brain,Up,2.654633363,8.09080357705443e-06
64,Hsp90b1-Tlr2,Visium,Brain,Up,0.838265891,1.17174706551386e-05
