,genes,Tech,organ,cell_type,regulate,logFC,FDR
0,Lgals3bp,ST,Brain,Ependymal,Up,1.50222508437559,9.808836697107102e-10
1,AC149090.1,ST,Brain,Ependymal,Up,1.07234551946928,0.0001078409233196
2,Cox8b,ST,Brain,Ependymal,Up,1.13378544779654,0.0064541023594273
3,Trf,ST,Brain,Ependymal,Up,0.630324657087939,0.0247039914694188
4,C1qa,ST,Brain,Ependymal,Up,0.827655529885029,0.0257676593583806
5,Lyz2,ST,Brain,Neuron,Up,1.68337970649766,3.0110930051345503e-09
6,C4b,ST,Brain,Neuron,Up,2.30500224062233,1.85226652611728e-06
7,Gm21887,ST,Brain,Neuron,Down,-3.63797445631487,3.56290946572041e-06
8,Gpr17,ST,Brain,Neuron,Down,-1.33535189163457,3.56290946572041e-06
9,C1qa,ST,Brain,Neuron,Up,0.634451089082368,6.68927799126722e-06
10,Cd52,ST,Brain,Neuron,Up,1.06896063396166,1.52953366604008e-05
11,Mpeg1,ST,Brain,Neuron,Up,0.793081599483018,5.64278885062308e-05
12,Gm47283,ST,Brain,Neuron,Down,-2.68201715041033,7.60033300015676e-05
13,Abca8a,ST,Brain,Neuron,Up,0.963207954242867,7.79882065217436e-05
14,Opalin,ST,Brain,Neuron,Down,-0.81425733303919,8.88592717440548e-05
15,9630013A20Rik,ST,Brain,Neuron,Down,-2.7694314352234,0.0001305671674885
16,H2-K1,ST,Brain,Neuron,Up,0.55075402086559,0.0003373236830023
17,Tmem267,ST,Brain,Neuron,Down,-1.13426265401461,0.0003373236830023
18,Pcdhb8,ST,Brain,Neuron,Up,1.07467481286828,0.0004306236902431
19,Pcdhb9,ST,Brain,Neuron,Up,0.76832853884753,0.0004785542131348
20,Gpnmb,ST,Brain,Neuron,Up,1.32543982761008,0.0005585005133132
21,Sgk1,ST,Brain,Neuron,Up,0.782437643117167,0.0006988950161985
22,Cxcl16,ST,Brain,Neuron,Up,1.20610374741348,0.0007242980097087
23,AC149090.1,ST,Brain,Neuron,Up,1.05667122220254,0.0007242980097087
24,Fcgr2b,ST,Brain,Neuron,Up,0.890325775373744,0.0007602880830496
25,Serpina3n,ST,Brain,Neuron,Up,1.07615063762616,0.0021123965363735
26,Zc3hav1,ST,Brain,Neuron,Up,0.829463403412683,0.0021915190891091
27,Pcdhb6,ST,Brain,Neuron,Up,1.35717288958478,0.0032288449590889
28,Cd68,ST,Brain,Neuron,Up,0.6000062560229,0.004186193999989
29,H2-Q7,ST,Brain,Neuron,Up,1.55893381115431,0.0046112516828592
30,Spag6,ST,Brain,Neuron,Up,1.05779506891249,0.0046112516828592
31,Pcdhb14,ST,Brain,Neuron,Up,0.908198005930088,0.0053153257307884
32,Capg,ST,Brain,Neuron,Up,0.799822776118462,0.0081233424356569
