,feature,log2FC_median,medianYoung,medianAged,adj.p
0,Bgn-Tlr2,-1.42138749575972,485.64777709508,1300.77348871554,0.0017575409469892
1,Timp1-Itgb1,-2.1362618783383,296.81137124552,1304.8465430229,0.002797125099271
2,Timp1-Lrp1,-0.972318925894617,837.395801911878,1642.96359872453,0.0041758508047125
3,Lgals3-Itgb3,-1.48974724079511,973.748558328485,2734.67319111933,0.0006892390630737
4,C1qa-Cd33,-2.0609907552163,698.696197445737,2915.46893169991,0.0014847645770109
5,Icam1-Itgam,-2.01046084013541,1172.22514452646,4723.02289525033,0.0002507099245912
6,Lgals3-Mag,-2.42870304248107,59.3856282864999,319.737681839719,0.0489342292364455
7,Icam1-Itgb2,-0.916328797556322,1401.47011963868,2645.00377786978,0.0006892390630737
8,Ccl5-Sdc4,-1.44643876606508,1192.87961161891,3251.00824762389,0.0009117702597374
9,Gnai2-C5ar1,-1.23174207146674,795.553731207285,1868.36114670262,0.0101752684411479
10,Lgals3-Itgb1,-1.29101872446106,601.189767170261,1471.11607437561,0.0011919104486233
11,C1qb-Cd33,-2.1876355572199,881.409660114163,4015.3344815505,0.0015541200464456
12,Ccl5-Ccrl2,-2.24173928148359,491.785308636002,2325.98182500668,0.0018123509358973
13,Vcam1-Itgb2,-1.31298779022529,1175.16128410431,2919.75347442183,0.0015541200464456
14,Lgals3-Mertk,-1.59975980511178,699.9471804052,2121.48983692851,0.0002222581812719
15,Cd14-Tlr2,-1.521793527555,1055.92085014965,3032.05353105163,0.0006892390630737
16,Cd14-Itgb2,-1.6081978401143,1662.94979216843,5069.84785001312,0.0001005734995102
17,Sema6d-Trem2,-2.21285106134265,51.9414322358409,240.795555210753,0.0035780243930817
18,Hmgb1-Tlr1,-0.844985236474097,2064.29807931465,3707.98791949581,0.0282229554534747
19,Anxa2-Tlr2,-1.6357584646457,691.753785043838,2149.63095637671,0.0055147120400991
20,Mrc1-Ptprc,-0.264362059738071,1476.05696010012,1772.89912900934,0.0342696637269633
21,Adam10-Gpnmb,-2.28728417727279,561.497314423598,2740.87247415737,1.80589756063826e-05
22,Cd14-Tlr4,-1.47637433179815,341.531377793314,950.306213437201,0.034155021865493
23,Sema4d-Cd72,-0.914717463169342,1243.26504061814,2343.80305426565,0.0414871313320151
24,Rps19-C5ar1,-1.23562743899928,906.356662923988,2134.32255706217,0.0418571419772697
25,Icam1-Itgax,-1.86438942582197,406.069948681114,1478.55672645465,0.0001158513637795
26,Hmgb1-Tlr2,-0.351090397776327,2686.75768363695,3427.02474648612,0.013396415947808
27,Ccl4-Ccr5,-60.2716894346313,0.0,3090.48496159209,1.09059194634735e-07
28,Lcn2-Slc22a17,-2.01238969521272,288.418586690258,1163.62463105,0.0003464518142998
29,Plau-Itgb2,-2.39989202599875,198.285501960879,1046.47883034759,0.0010629034078195
30,St6gal1-Cd22,-1.67530096381182,285.20905787705,910.917731458459,0.0016611744483804
31,Bsg-Spn,-1.18297332787125,1194.70199474741,2712.5018594967,0.0152640363062833
