"","Ligand.gene.symbol","Receptor.gene.symbol"
"1","Gdf15","Tgfbr2"
"2","Gdnf","Gfra1"
"3","Nrtn","Gfra2"
"4","Artn","Gfra3"
"5","Pspn","Gfra4"
"6","Artn","Gfra1"
"7","Inhaba","Acvr2a"
"8","Inhabb","Acvr2b"
"9","Wnt5a","Fzd1"
"10","Wnt5a","Fzd10"
"11","Wnt5a","Fzd2"
"12","Wnt5a","Fzd3"
"13","Wnt5a","Fzd4"
"14","Wnt5a","Fzd5"
"15","Wnt5a","Fzd6"
"16","Wnt5a","Fzd7"
"17","Wnt5a","Fzd8"
"18","Wnt5a","Fzd9"
"19","Wnt5a","Mcam"
"20","Wnt5b","Fzd1"
"21","Wnt5b","Fzd10"
"22","Wnt5b","Fzd2"
"23","Wnt5b","Fzd3"
"24","Wnt5b","Fzd4"
"25","Wnt5b","Fzd5"
"26","Wnt5b","Fzd6"
"27","Wnt5b","Fzd7"
"28","Wnt5b","Fzd8"
"29","Wnt5b","Fzd9"
"30","Wnt11","Fzd1"
"31","Wnt11","Fzd10"
"32","Wnt11","Fzd2"
"33","Wnt11","Fzd3"
"34","Wnt11","Fzd4"
"35","Wnt11","Fzd5"
"36","Wnt11","Fzd6"
"37","Wnt11","Fzd7"
"38","Wnt11","Fzd8"
"39","Wnt11","Fzd9"
"40","Egf","Egfr"
"41","Tgfa","Egfr"
"42","Areg","Egfr"
"43","Btc","Egfr"
"44","Btc","Erbb4"
"45","Hbegf","Egfr"
"46","Hbegf","Erbb4"
"47","Ereg","Egfr"
"48","Ereg","Erbb4"
"49","Nrg1","Erbb3"
"50","Nrg1","Erbb4"
"51","Nrg2","Erbb3"
"52","Nrg2","Erbb4"
"53","Nrg3","Erbb4"
"54","Nrg4","Erbb4"
"55","Fgf1","Fgfr1"
"56","Fgf1","Fgfr2"
"57","Fgf1","Fgfr3"
"58","Fgf1","Fgfr4"
"59","Fgf2","Fgfr1"
"60","Fgf2","Fgfr2"
"61","Fgf2","Fgfr3"
"62","Fgf2","Fgfr4"
"63","Fgf4","Fgfr1"
"64","Fgf4","Fgfr2"
"65","Fgf4","Fgfr3"
"66","Fgf4","Fgfr4"
"67","Fgf5","Fgfr1"
"68","Fgf5","Fgfr2"
"69","Fgf5","Fgfr3"
"70","Fgf5","Fgfr4"
"71","Fgf6","Fgfr1"
"72","Fgf6","Fgfr2"
"73","Fgf6","Fgfr3"
"74","Fgf6","Fgfr4"
"75","Fgf7","Fgfr1"
"76","Fgf7","Fgfr2"
"77","Fgf3","Fgfr1"
"78","Fgf3","Fgfr2"
"79","Fgf10","Fgfr1"
"80","Fgf10","Fgfr2"
"81","Fgf22","Fgfr2"
"82","Fgf8","Fgfr1"
"83","Fgf8","Fgfr2"
"84","Fgf8","Fgfr3"
"85","Fgf8","Fgfr4"
"86","Fgf17","Fgfr1"
"87","Fgf17","Fgfr2"
"88","Fgf17","Fgfr3"
"89","Fgf17","Fgfr4"
"90","Fgf18","Fgfr1"
"91","Fgf18","Fgfr2"
"92","Fgf18","Fgfr3"
"93","Fgf18","Fgfr4"
"94","Fgf9","Fgfr1"
"95","Fgf9","Fgfr2"
"96","Fgf9","Fgfr3"
"97","Fgf9","Fgfr4"
"98","Fgf20","Fgfr1"
"99","Fgf20","Fgfr2"
"100","Fgf20","Fgfr3"
"101","Fgf20","Fgfr4"
"102","Fgf16","Fgfr1"
"103","Fgf16","Fgfr2"
"104","Fgf16","Fgfr3"
"105","Fgf16","Fgfr4"
"106","Fgf15","Fgfr1"
"107","Fgf15","Fgfr2"
"108","Fgf15","Fgfr3"
"109","Fgf15","Fgfr4"
"110","Fgf21","Fgfr1"
"111","Fgf21","Fgfr3"
"112","Fgf23","Fgfr1"
"113","Fgf23","Fgfr3"
"114","Fgf23","Fgfr4"
"115","Pdgfa","Pdgfra"
"116","Pdgfa","Pdgfrb"
"117","Pdgfb","Pdgfra"
"118","Pdgfb","Pdgfrb"
"119","Pdgfc","Pdgfra"
"120","Pdgfd","Pdgfrb"
"121","Vegfa","Vegfr1"
"122","Vegfa","Vegfr2"
"123","Vegfb","Vegfr1"
"124","Vegfc","Vegfr3"
"125","Vegfc","Vegfr2"
"126","Vegfd","Vegfr3"
"127","Vegfd","Vegfr2"
"128","Pgf","Vegfr1"
"129","Vegfa","Vegfr1r2"
"130","Vegfc","Vegfr2r3"
"131","Vegfd","Vegfr2r3"
"132","Igf1","Igf1r"
"133","Igf2","Igf1r"
"134","Igf2","Igf2r"
"135","Igfl3","Igflr1"
"136","Ins1","Inssr"
"137","Ins2","Inssr"
"138","Apln","Aplnr"
"139","Dhh","Ptch1"
"140","Ihh","Ptch1"
"141","Shh","Ptch1"
"142","Dhh","Ptch2"
"143","Ihh","Ptch2"
"144","Shh","Ptch2"
"145","Ccl5","Ccr1"
"146","Ccl3","Ccr1"
"147","Ccl8","Ccr1"
"148","Ccl9","Ccr1"
"149","Ccl6","Ccr1"
"150","Ccl7","Ccr1"
"151","Ccl5","Ccr1l1"
"152","Ccl3","Ccr1l1"
"153","Ccl8","Ccr1l1"
"154","Ccl9","Ccr1l1"
"155","Ccl6","Ccr1l1"
"156","Ccl7","Ccr1l1"
"157","Ccl8","Ccr2"
"158","Ccl6","Ccr2"
"159","Ccl7","Ccr2"
"160","Ccl2","Ccr2"
"161","Ccl12","Ccr2"
"162","Ccl27a","Ccr2"
"163","Ccl27b","Ccr2"
"164","Ccl5","Ccr3"
"165","Ccl6","Ccr3"
"166","Ccl7","Ccr3"
